(3C5A98):16g8:[:]{050903D5}      | As you explore the wilderness a settlement comes into view up ahead!
(143270):16g8:[#]{050903D4}      | Entering settled area ...
(000000):16g8:[Y]{050903D4}      | You shake the needles from your shoulders and come forward among the people. You are entering a forester village...
(000000):16g8:[G]{050903D4}      | Ground
(000000):16g8:[G]{050903D4}      | Ground
(A80000):16g8:[!]{050903D4}      | That's too steep to be climbed!
(143270):16g8:[#]{050903D4}      | You see a stone here.
(A80000):16g8:[!]{050903D4}      | There's a rowan blocking your way!
(A80000):16g8:[!]{050903D4}      | There's an alder blocking your way!
(A80000):16g8:[!]{050903D5}      | There's a birch blocking your way!
(000000):16g8:[T]{050903D5}      | The Forester adventurer withdraws from your way.
(000000):16g8:[Y]{050903D4}      | You hear a door opening.
(000000):16g8:[Y]{050903D4}      | You hear a door closing.
(A80000):16g8:[!]{050903D3}      | There's a birch blocking your way!
(A80000):16g8:[!]{050803D3}      | There's a pine blocking your way!
(A80000):16g8:[!]{050803D3}      | There's a young pine blocking your way!
(A80000):16g8:[!]{050803D3}      | There's a pine blocking your way!
(A80000):16g8:[!]{050803D3}      | There's a young pine blocking your way!
(A80000):16g8:[!]{050903D3}      | There's a rowan blocking your way!
(A80000):16g8:[!]{050903D3}      | There's an alder blocking your way!
(143270):16g8:[#]{050903D3}      | Zooming out ... 
(A80000):16g8:[!]{050D03D9}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):16g8:[:]{050C03D9}      | You are feeling rather warm.
(A80000):16g8:[!]{050A03D9}      | It's deep water there! You need to swim, or go by watercraft.
(147870):16g8:[?]{050A03D9}      | Drink from the natural source?
(3C5A98):16g8:[:]{050A03D9}      | You take a sip of water.
(008000):16g8:[=]{050A03D9}      | Your thirst is extinguished.
(3C5A98):16g8:[:]{050A03D9}      | Live freely now and see the game-course information screen again when you are willing to take your next task.
(000000):16g8:[W]{050A03D9}      | Water
(575757):16g8:[_]{050A03D9}      | The water is chilly.
(A80000):16g8:[!]{050A03D9}      | Please pick a direction where you can see!
(A80000):16g8:[!]{050A03D9}      | Please pick a direction where you can see!
(A80000):16g8:[!]{050A03D9}      | Please pick a direction where you can see!
(000000):16g8:[S]{050A03D9}      | Spruce mire
(A80000):16g8:[!]{050A03D9}      | Please pick a direction where you can see!
(A80000):16g8:[!]{050A03D9}      | Please pick a direction where you can see!
(000000):16g8:[W]{050A03D9}      | Water
(575757):16g8:[_]{050A03D9}      | The water is chilly.
(000000):16g8:[W]{050A03D9}      | Water
(575757):16g8:[_]{050A03D9}      | The water is chilly.
(000000):16g8:[W]{050A03D9}      | Water
(575757):16g8:[_]{050A03D9}      | The water is chilly.
(A80000):16g8:[!]{050A03D9}      | Please pick a direction where you can see!
(000000):16g8:[C]{050A03D9}      | Coniferous forest
(000000):16g8:[S]{050A03D9}      | Spruce mire
(000000):16g8:[W]{050A03D9}      | Water
(575757):16g8:[_]{050A03D9}      | The water is chilly.
(143270):16g8:[#]{050903D4}      | Entering settled area ...
(000000):16g8:[Y]{050903D4}      | You shake the needles from your shoulders and come forward among the people. You are entering a forester village...
(3C5A98):16g8:[:]{050903D4}      | Live freely now and see the game-course information screen again when you are willing to take your next task.
(143270):16g8:[#]{050903D4}      | You see a tree trunk here.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(A80000):16g8:[!]{050903D4}      | There is nothing here to pick up.
(AB5700):16g8:[+]{050903D4}      | Use this command also to unpack your pack animal or pick items from your companion.
(A80000):16g8:[!]{050903D4}      | There is nothing here to pick up.
(143270):16g8:[#]{050903D4}      | You see a tree trunk here.
(A80000):16g8:[!]{050903D4}      | There's a rowan blocking your way!
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(000000):16g8:[Y]{050903D4}      | You hear capercaillie cooing in the north-west.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(000000):16g8:[Y]{050903D4}      | You hear a door opening.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(000000):16g8:[Y]{050903D4}      | You hear capercaillie cooing in the north-west.
(000000):16g8:[Y]{050903D4}      | You hear a door closing.
(143270):16g8:[#]{050903D4}      | You see a patch of 6 growing nettles here.
(3C5A98):16g8:[:]{050903D4}      | It can be harvested after nearly two months. 
(575757):16g8:[_]{050903D4}      | You can't zoom out directly right now. The area has activity going on.
(575757):16g8:[_]{050903D4}      | Please walk a little further from this location and press [ENTER] again.
(A80000):16g8:[!]{050903D4}      | There is nothing here to pick up.
(A80000):16g8:[!]{050903D4}      | There's a south-west corner of a kota blocking your way!
(A80000):16g8:[!]{050903D4}      | There's a northern wall of a kota blocking your way!
(A80000):16g8:[!]{050903D4}      | There's a north-east corner of a kota blocking your way!
(143270):16g8:[#]{050903D4}      | You see a patch of 3 growing nettles here.
(3C5A98):16g8:[:]{050903D4}      | It can be harvested after nearly two months. 
(000000):16g8:[Y]{050903D4}      | You hear capercaillie cooing in the west.
(3C5A98):16g9:[:]{050903D4}      | You feel warm.
(000000):16g9:[Y]{050903D4}      | You hear capercaillie cooing in the south-west.
(000000):16g9:[Y]{050903D4}      | You hear capercaillie cooing in the west.
(3C5A98):16g9:[:]{050903D4}      | You are feeling hot.
(000000):16g9:[Y]{050903D4}      | You hear capercaillie cooing in the north-west.
(A80000):16g9:[!]{050903D4}      | Task cancelled!
(A80000):16g9:[!]{050903D4}      | There is nothing here to pick up.
(143270):16g9:[#]{050903D4}      | You see a stone here.
(A80000):16g9:[!]{050903D4}      | There is nothing here to pick up.
(143270):16g9:[#]{050903D4}      | You see a rock here.
(3C5A98):16g9:[:]{050903D4}      | You pick up the rock.
(3C5A98):16g9:[:]{050903D4}      | Live freely now and see the game-course information screen again when you are willing to take your next task.
(147870):16g9:[?]{050903D3}      | Items at your feet will be moved to an adjacent location or packed on an animal.
(A80000):16g9:[!]{050903D3}      | There are no items at your feet!
(147870):16g9:[?]{050903D3}      | Items at your feet will be moved to an adjacent location or packed on an animal.
(A80000):16g9:[!]{050903D3}      | There are no items at your feet!
(143270):16g9:[#]{050903D3}      | Things that are here:
(000000):16g9:[r]{050903D3}      | rock
(000000):16g9:[s]{050903D3}      | stone
(147870):16g9:[?]{050903D3}      | Items at your feet will be moved to an adjacent location or packed on an animal.
(143270):16g9:[#]{050903D3}      | Zooming out ... 
(143270):16g9:[#]{050903D4}      | Entering settled area ...
(000000):16g9:[Y]{050903D4}      | You shake the needles from your shoulders and come forward among the people. You are entering a forester village...
(143270):16g9:[#]{050903D4}      | Zooming out ... 
(3C5A98):16ga:[:]{050803D3}      | You are sweaty.
